id,method,nsnp,b,se,CIlower,CIupper,pval,intercept,intercept_se,inter_CIlower,inter_CIupper,intercept_pval,hetero_Q,hetero_pvale,lo_ci,up_ci,or,or_lci95,or_uci95,fdr,cancer,cancerid,gene,cell
"SLC9A3_T cell, CD4, TH2",Wald_ratio,1,0.100808862,0.047971785,NA,NA,0.035604124,NA,NA,NA,NA,NA,NA,NA,0.006784164,0.194833561,1.106065211,1.006807229,1.215108728,0.808580036,Bladder cancer,finn-b-C3_BLADDER,SLC9A3,"T cell, CD4, TH2"
"CTD-2228K2.7_T cell, CD4, TH17",Wald_ratio,1,0.087364141,0.041573862,NA,NA,0.035604124,NA,NA,NA,NA,NA,NA,NA,0.005879371,0.168848911,1.091293992,1.005896688,1.183941245,0.808580036,Bladder cancer,finn-b-C3_BLADDER,CTD-2228K2.7,"T cell, CD4, TH17"
"CTD-2228K2.7_B cell, naive",Wald_ratio,1,0.10257129,0.048810469,NA,NA,0.035604124,NA,NA,NA,NA,NA,NA,NA,0.006902771,0.19823981,1.10801629,1.00692665,1.219254748,0.808580036,Bladder cancer,finn-b-C3_BLADDER,CTD-2228K2.7,"B cell, naive"
"CTD-2228K2.7_Monocyte, classical",Wald_ratio,1,0.10301745,0.049022783,NA,NA,0.035604124,NA,NA,NA,NA,NA,NA,NA,0.006932796,0.199102105,1.108510753,1.006956883,1.220306559,0.808580036,Bladder cancer,finn-b-C3_BLADDER,CTD-2228K2.7,"Monocyte, classical"
"CTD-2228K2.7_T cell, CD4, TH1",Wald_ratio,1,0.095907357,0.045639312,NA,NA,0.035604124,NA,NA,NA,NA,NA,NA,NA,0.006454306,0.185360409,1.100657091,1.00647518,1.203652169,0.808580036,Bladder cancer,finn-b-C3_BLADDER,CTD-2228K2.7,"T cell, CD4, TH1"
"SLC9A3_T cell, CD4, naive TREG",Wald_ratio,1,0.102717193,0.0488799,NA,NA,0.035604124,NA,NA,NA,NA,NA,NA,NA,0.00691259,0.198521797,1.108177965,1.006936537,1.219598611,0.808580036,Bladder cancer,finn-b-C3_BLADDER,SLC9A3,"T cell, CD4, naive TREG"
"CTD-2228K2.7_NK cell, CD56dim CD16+",Wald_ratio,1,0.104041256,0.04950998,NA,NA,0.035604124,NA,NA,NA,NA,NA,NA,NA,0.007001695,0.201080816,1.109646233,1.007026264,1.222723583,0.808580036,Bladder cancer,finn-b-C3_BLADDER,CTD-2228K2.7,"NK cell, CD56dim CD16+"
"CTD-2228K2.7_T cell, CD4, naive TREG",Wald_ratio,1,0.085638679,0.040752769,NA,NA,0.035604124,NA,NA,NA,NA,NA,NA,NA,0.005763252,0.165514107,1.08941263,1.005779891,1.179999609,0.808580036,Bladder cancer,finn-b-C3_BLADDER,CTD-2228K2.7,"T cell, CD4, naive TREG"
"CTD-2228K2.7_T cell, CD4, TH2",Wald_ratio,1,0.086030076,0.040939023,NA,NA,0.035604124,NA,NA,NA,NA,NA,NA,NA,0.005789592,0.16627056,1.089839106,1.005806384,1.180892561,0.808580036,Bladder cancer,finn-b-C3_BLADDER,CTD-2228K2.7,"T cell, CD4, TH2"
"CTD-2228K2.7_T cell, CD8, naive activated",Wald_ratio,1,0.09567289,0.045527736,NA,NA,0.035604124,NA,NA,NA,NA,NA,NA,NA,0.006438527,0.184907253,1.100399054,1.006459299,1.203106851,0.808580036,Bladder cancer,finn-b-C3_BLADDER,CTD-2228K2.7,"T cell, CD8, naive activated"
"RP11-594N15.2_T cell, CD4, naive activated",Wald_ratio,1,-0.115453713,0.053871724,NA,NA,0.032103249,NA,NA,NA,NA,NA,NA,NA,-0.221042292,-0.009865134,0.890961811,0.801682775,0.990183367,0.808580036,Bladder cancer,finn-b-C3_BLADDER,RP11-594N15.2,"T cell, CD4, naive activated"
"PKIA_T cell, CD4, memory TREG",Wald_ratio,1,-0.115063498,0.053689646,NA,NA,0.032103249,NA,NA,NA,NA,NA,NA,NA,-0.220295205,-0.009831792,0.891309545,0.802281925,0.990216382,0.808580036,Bladder cancer,finn-b-C3_BLADDER,PKIA,"T cell, CD4, memory TREG"
"PRKG2_T cell, CD8, naive",Wald_ratio,1,-0.169258724,0.075007419,NA,NA,0.024035597,NA,NA,NA,NA,NA,NA,NA,-0.316273264,-0.022244183,0.844290437,0.728860251,0.978001395,0.787178943,Bladder cancer,finn-b-C3_BLADDER,PRKG2,"T cell, CD8, naive"
"PRKG2_T cell, CD4, naive TREG",Wald_ratio,1,-0.169301964,0.075026581,NA,NA,0.024035597,NA,NA,NA,NA,NA,NA,NA,-0.316354063,-0.022249865,0.844253931,0.728801363,0.977995837,0.787178943,Bladder cancer,finn-b-C3_BLADDER,PRKG2,"T cell, CD4, naive TREG"
"PRKG2_T cell, CD4, memory TREG",Wald_ratio,1,-0.153991454,0.068241691,NA,NA,0.024035597,NA,NA,NA,NA,NA,NA,NA,-0.287745169,-0.02023774,0.857279347,0.749952679,0.979965669,0.787178943,Bladder cancer,finn-b-C3_BLADDER,PRKG2,"T cell, CD4, memory TREG"
"PRKG2_T cell, CD4, TH17",Wald_ratio,1,-0.155189199,0.068772474,NA,NA,0.024035597,NA,NA,NA,NA,NA,NA,NA,-0.289983248,-0.020395149,0.85625316,0.748276102,0.979811425,0.787178943,Bladder cancer,finn-b-C3_BLADDER,PRKG2,"T cell, CD4, TH17"
"PRKG2_T cell, CD4, naive",Wald_ratio,1,-0.165288522,0.073248014,NA,NA,0.024035597,NA,NA,NA,NA,NA,NA,NA,-0.308854629,-0.021722414,0.847649104,0.734287506,0.978511819,0.787178943,Bladder cancer,finn-b-C3_BLADDER,PRKG2,"T cell, CD4, naive"
"PRKG2_T cell, CD4, TFH",Wald_ratio,1,-0.160342762,0.071056289,NA,NA,0.024035597,NA,NA,NA,NA,NA,NA,NA,-0.299613088,-0.021072436,0.851851756,0.741104908,0.979148036,0.787178943,Bladder cancer,finn-b-C3_BLADDER,PRKG2,"T cell, CD4, TFH"
"PRKG2_T cell, CD4, TH1",Wald_ratio,1,-0.16179032,0.071697778,NA,NA,0.024035597,NA,NA,NA,NA,NA,NA,NA,-0.302317964,-0.021262676,0.850619544,0.739103019,0.978961781,0.787178943,Bladder cancer,finn-b-C3_BLADDER,PRKG2,"T cell, CD4, TH1"
"LAMC1_B cell, naive",Wald_ratio,1,-0.108735195,0.048641709,NA,NA,0.025389051,NA,NA,NA,NA,NA,NA,NA,-0.204072944,-0.013397446,0.896967908,0.81540289,0.9866919,0.805080365,Bladder cancer,finn-b-C3_BLADDER,LAMC1,"B cell, naive"
"RP1-179N16.6_T cell, CD4, TH1 TH17",Wald_ratio,1,-0.146984744,0.063730933,NA,NA,0.021092041,NA,NA,NA,NA,NA,NA,NA,-0.271897374,-0.022072115,0.863307148,0.761932452,0.978169692,0.740809055,Bladder cancer,finn-b-C3_BLADDER,RP1-179N16.6,"T cell, CD4, TH1 TH17"
"RP1-179N16.6_T cell, CD4, TH1",Wald_ratio,1,-0.145480943,0.063078902,NA,NA,0.021092041,NA,NA,NA,NA,NA,NA,NA,-0.269115591,-0.021846295,0.864606366,0.764054933,0.978390607,0.740809055,Bladder cancer,finn-b-C3_BLADDER,RP1-179N16.6,"T cell, CD4, TH1"
"RP1-179N16.6_T cell, CD4, TFH",Wald_ratio,1,-0.144391574,0.062606564,NA,NA,0.021092041,NA,NA,NA,NA,NA,NA,NA,-0.26710044,-0.021682709,0.865548755,0.765596171,0.978550671,0.740809055,Bladder cancer,finn-b-C3_BLADDER,RP1-179N16.6,"T cell, CD4, TFH"
"RP1-179N16.6_B cell, naive",Wald_ratio,1,-0.152211921,0.065997378,NA,NA,0.021092041,NA,NA,NA,NA,NA,NA,NA,-0.281566782,-0.02285706,0.858806263,0.754600521,0.977402184,0.740809055,Bladder cancer,finn-b-C3_BLADDER,RP1-179N16.6,"B cell, naive"
"RP1-179N16.6_T cell, CD4, TH17",Wald_ratio,1,-0.135182624,0.058613667,NA,NA,0.021092041,NA,NA,NA,NA,NA,NA,NA,-0.250065411,-0.020299838,0.873556365,0.778749843,0.979904817,0.740809055,Bladder cancer,finn-b-C3_BLADDER,RP1-179N16.6,"T cell, CD4, TH17"
"RP1-179N16.6_T cell, CD4, TH2",Wald_ratio,1,-0.14305533,0.062027183,NA,NA,0.021092041,NA,NA,NA,NA,NA,NA,NA,-0.264628609,-0.021482051,0.866706113,0.767490936,0.978747045,0.740809055,Bladder cancer,finn-b-C3_BLADDER,RP1-179N16.6,"T cell, CD4, TH2"
"RP1-179N16.6_T cell, CD4, naive",Wald_ratio,1,-0.120573514,0.05227932,NA,NA,0.021092041,NA,NA,NA,NA,NA,NA,NA,-0.223040982,-0.018106046,0.886411921,0.80008206,0.982056884,0.740809055,Bladder cancer,finn-b-C3_BLADDER,RP1-179N16.6,"T cell, CD4, naive"
"NT5C3B_T cell, CD4, TH17",Wald_ratio,1,0.076399694,0.034063083,NA,NA,0.024904012,NA,NA,NA,NA,NA,NA,NA,0.009636051,0.143163337,1.079393915,1.009682627,1.153918264,0.793060308,Bladder cancer,finn-b-C3_BLADDER,NT5C3B,"T cell, CD4, TH17"
"CDC14A_T cell, CD4, memory TREG",Wald_ratio,1,-0.176701139,0.057829464,NA,NA,0.00224644,NA,NA,NA,NA,NA,NA,NA,-0.290046888,-0.06335539,0.838030202,0.748228484,0.938609842,0.462698234,Bladder cancer,finn-b-C3_BLADDER,CDC14A,"T cell, CD4, memory TREG"
"PMEL_T cell, CD8, naive",Wald_ratio,1,0.123464545,0.051468594,NA,NA,0.016447428,NA,NA,NA,NA,NA,NA,NA,0.022586101,0.224342989,1.13140989,1.022843098,1.251500197,0.681907635,Bladder cancer,finn-b-C3_BLADDER,PMEL,"T cell, CD8, naive"
"SERINC2_Monocyte, classical",Wald_ratio,1,-0.190419478,0.060138253,NA,NA,0.001543586,NA,NA,NA,NA,NA,NA,NA,-0.308290455,-0.072548502,0.826612315,0.73470189,0.930020638,0.366711887,Bladder cancer,finn-b-C3_BLADDER,SERINC2,"Monocyte, classical"
"GBP3_T cell, CD8, naive activated",Wald_ratio,1,0.160581805,0.050020538,NA,NA,0.001325885,NA,NA,NA,NA,NA,NA,NA,0.062541551,0.258622059,1.174193824,1.064538691,1.295144224,0.366711887,Bladder cancer,finn-b-C3_BLADDER,GBP3,"T cell, CD8, naive activated"
"HTR7P1_T cell, CD4, naive",Wald_ratio,1,0.15175115,0.054882333,NA,NA,0.005691803,NA,NA,NA,NA,NA,NA,NA,0.044181777,0.259320522,1.163870571,1.045172326,1.296049151,0.488903877,Bladder cancer,finn-b-C3_BLADDER,HTR7P1,"T cell, CD4, naive"
"HTR7P1_T cell, CD8, naive",Wald_ratio,1,0.170322205,0.061598742,NA,NA,0.005691803,NA,NA,NA,NA,NA,NA,NA,0.049588671,0.29105574,1.185686824,1.050838767,1.337839153,0.488903877,Bladder cancer,finn-b-C3_BLADDER,HTR7P1,"T cell, CD8, naive"
"HTR7P1_T cell, CD4, TH1 TH17",Wald_ratio,1,0.164749215,0.059583214,NA,NA,0.005691803,NA,NA,NA,NA,NA,NA,NA,0.047966115,0.281532315,1.179097382,1.049135105,1.325158818,0.488903877,Bladder cancer,finn-b-C3_BLADDER,HTR7P1,"T cell, CD4, TH1 TH17"
"RNF24_T cell, CD4, memory TREG",Wald_ratio,1,-0.128056441,0.053039676,NA,NA,0.015763232,NA,NA,NA,NA,NA,NA,NA,-0.232014206,-0.024098675,0.879803721,0.792934859,0.976189379,0.676871196,Bladder cancer,finn-b-C3_BLADDER,RNF24,"T cell, CD4, memory TREG"
"GSTM1_T cell, CD4, naive TREG",Wald_ratio,1,-0.220211382,0.063777738,NA,NA,0.000554813,NA,NA,NA,NA,NA,NA,NA,-0.345215749,-0.095207015,0.802349178,0.708067572,0.9091847,0.321796636,Bladder cancer,finn-b-C3_BLADDER,GSTM1,"T cell, CD4, naive TREG"
"GSTM1_T cell, CD4, naive",Wald_ratio,1,-0.213638603,0.061874127,NA,NA,0.000554813,NA,NA,NA,NA,NA,NA,NA,-0.334911891,-0.092365315,0.807640211,0.715401117,0.911772005,0.321796636,Bladder cancer,finn-b-C3_BLADDER,GSTM1,"T cell, CD4, naive"
"GSTM1_T cell, CD4, TH1 TH17",Wald_ratio,1,-0.20342717,0.058916686,NA,NA,0.000554813,NA,NA,NA,NA,NA,NA,NA,-0.318903874,-0.087950465,0.815929627,0.726945424,0.91580624,0.321796636,Bladder cancer,finn-b-C3_BLADDER,GSTM1,"T cell, CD4, TH1 TH17"
"GSTM1_Monocyte, non-classical",Wald_ratio,1,-0.210617402,0.060999125,NA,NA,0.000554813,NA,NA,NA,NA,NA,NA,NA,-0.330175687,-0.091059117,0.810083944,0.718797439,0.912963737,0.321796636,Bladder cancer,finn-b-C3_BLADDER,GSTM1,"Monocyte, non-classical"
"GSTM1_B cell, naive",Wald_ratio,1,-0.20973897,0.060744713,NA,NA,0.000554813,NA,NA,NA,NA,NA,NA,NA,-0.328798607,-0.090679333,0.81079586,0.719787962,0.913310533,0.321796636,Bladder cancer,finn-b-C3_BLADDER,GSTM1,"B cell, naive"
"GSTM1_NK cell, CD56dim CD16+",Wald_ratio,1,-0.214056331,0.061995109,NA,NA,0.000554813,NA,NA,NA,NA,NA,NA,NA,-0.335566745,-0.092545917,0.807302908,0.714932787,0.911607352,0.321796636,Bladder cancer,finn-b-C3_BLADDER,GSTM1,"NK cell, CD56dim CD16+"
"GSTM1_T cell, CD4, TFH",Wald_ratio,1,-0.211432285,0.061235132,NA,NA,0.000554813,NA,NA,NA,NA,NA,NA,NA,-0.331453143,-0.091411427,0.809424089,0.717879793,0.912642148,0.321796636,Bladder cancer,finn-b-C3_BLADDER,GSTM1,"T cell, CD4, TFH"
"GSTM1_Monocyte, classical",Wald_ratio,1,-0.212556806,0.061560816,NA,NA,0.000554813,NA,NA,NA,NA,NA,NA,NA,-0.333216006,-0.091897607,0.808514386,0.716615384,0.912198548,0.321796636,Bladder cancer,finn-b-C3_BLADDER,GSTM1,"Monocyte, classical"
"GSTM1_T cell, CD8, naive",Wald_ratio,1,-0.228462689,0.066167486,NA,NA,0.000554813,NA,NA,NA,NA,NA,NA,NA,-0.358150962,-0.098774416,0.795755987,0.698967549,0.905947052,0.321796636,Bladder cancer,finn-b-C3_BLADDER,GSTM1,"T cell, CD8, naive"
"CLCC1_T cell, CD8, naive activated",Wald_ratio,1,-0.144630988,0.054814484,NA,NA,0.008326039,NA,NA,NA,NA,NA,NA,NA,-0.252067378,-0.037194599,0.865341555,0.777192371,0.963488623,0.488903877,Bladder cancer,finn-b-C3_BLADDER,CLCC1,"T cell, CD8, naive activated"
"RP11-252K23.2_T cell, CD4, naive activated",Wald_ratio,1,0.124879685,0.047679403,NA,NA,0.008814823,NA,NA,NA,NA,NA,NA,NA,0.031428054,0.218331315,1.133012126,1.03192713,1.243999155,0.49974035,Bladder cancer,finn-b-C3_BLADDER,RP11-252K23.2,"T cell, CD4, naive activated"
"RP11-252K23.2_T cell, CD8, naive activated",Wald_ratio,1,0.130384151,0.049781024,NA,NA,0.008814823,NA,NA,NA,NA,NA,NA,NA,0.032813345,0.227954957,1.139265949,1.033357639,1.256028749,0.49974035,Bladder cancer,finn-b-C3_BLADDER,RP11-252K23.2,"T cell, CD8, naive activated"
"MAP2K1_T cell, CD4, naive TREG",Wald_ratio,1,0.085413444,0.043192527,NA,NA,0.047984563,NA,NA,NA,NA,NA,NA,NA,0.00075609,0.170070797,1.089167283,1.000756376,1.185388771,0.895690248,Bladder cancer,finn-b-C3_BLADDER,MAP2K1,"T cell, CD4, naive TREG"
"ERBB3_T cell, CD4, TH1",Wald_ratio,1,0.146982467,0.044216717,NA,NA,0.000886923,NA,NA,NA,NA,NA,NA,NA,0.060317701,0.233647233,1.158333654,1.062173947,1.263198798,0.321796636,Bladder cancer,finn-b-C3_BLADDER,ERBB3,"T cell, CD4, TH1"
"RP11-137H2.6_T cell, CD4, naive",Wald_ratio,1,-0.128504242,0.047828435,NA,NA,0.007214555,NA,NA,NA,NA,NA,NA,NA,-0.222247975,-0.034760508,0.879409832,0.800716782,0.965836698,0.488903877,Bladder cancer,finn-b-C3_BLADDER,RP11-137H2.6,"T cell, CD4, naive"
"FAM213A_B cell, naive",Wald_ratio,1,-0.146128038,0.054387897,NA,NA,0.007214555,NA,NA,NA,NA,NA,NA,NA,-0.252728316,-0.03952776,0.864047065,0.776678865,0.961243269,0.488903877,Bladder cancer,finn-b-C3_BLADDER,FAM213A,"B cell, naive"
"CTSK_T cell, CD4, naive activated",Wald_ratio,1,-0.122817847,0.057112282,NA,NA,0.031518613,NA,NA,NA,NA,NA,NA,NA,-0.23475792,-0.010877774,0.884424748,0.790762254,0.989181175,0.808580036,Bladder cancer,finn-b-C3_BLADDER,CTSK,"T cell, CD4, naive activated"
"LRRIQ3_T cell, CD4, TH17",Wald_ratio,1,0.095283344,0.038042561,NA,NA,0.012257222,NA,NA,NA,NA,NA,NA,NA,0.020719925,0.169846763,1.099970481,1.020936073,1.185123233,0.617689682,Bladder cancer,finn-b-C3_BLADDER,LRRIQ3,"T cell, CD4, TH17"
"MAST2_Monocyte, classical",Wald_ratio,1,-0.113696005,0.056781669,NA,NA,0.045248558,NA,NA,NA,NA,NA,NA,NA,-0.224988076,-0.002403934,0.892529239,0.79852574,0.997598953,0.864923594,Bladder cancer,finn-b-C3_BLADDER,MAST2,"Monocyte, classical"
"CLDN4_T cell, CD4, naive TREG",Wald_ratio,1,-0.115024797,0.039773324,NA,NA,0.003827874,NA,NA,NA,NA,NA,NA,NA,-0.192980512,-0.037069082,0.891344041,0.824498041,0.963609565,0.488903877,Bladder cancer,finn-b-C3_BLADDER,CLDN4,"T cell, CD4, naive TREG"
"WBSCR27_T cell, CD4, naive TREG",Wald_ratio,1,-0.121400727,0.041977996,NA,NA,0.003827874,NA,NA,NA,NA,NA,NA,NA,-0.203677599,-0.039123855,0.885678973,0.815725319,0.961631599,0.488903877,Bladder cancer,finn-b-C3_BLADDER,WBSCR27,"T cell, CD4, naive TREG"
"WBSCR27_T cell, CD4, TFH",Wald_ratio,1,-0.133593398,0.046193983,NA,NA,0.003827874,NA,NA,NA,NA,NA,NA,NA,-0.224133605,-0.043053191,0.874945747,0.799208349,0.957860439,0.488903877,Bladder cancer,finn-b-C3_BLADDER,WBSCR27,"T cell, CD4, TFH"
"LYNX1_T cell, CD4, naive TREG",Wald_ratio,1,-0.088190367,0.037459908,NA,NA,0.01855962,NA,NA,NA,NA,NA,NA,NA,-0.161611786,-0.014768947,0.915586563,0.850771422,0.985339579,0.716889107,Bladder cancer,finn-b-C3_BLADDER,LYNX1,"T cell, CD4, naive TREG"
"RP11-347C12.1_T cell, CD4, TH2",Wald_ratio,1,0.119855908,0.042667152,NA,NA,0.004968162,NA,NA,NA,NA,NA,NA,NA,0.036228291,0.203483526,1.1273344,1.036892532,1.225664966,0.488903877,Bladder cancer,finn-b-C3_BLADDER,RP11-347C12.1,"T cell, CD4, TH2"
"RP11-347C12.2_Monocyte, classical",Wald_ratio,1,0.116336343,0.041414232,NA,NA,0.004968162,NA,NA,NA,NA,NA,NA,NA,0.035164448,0.197508238,1.123373647,1.035790028,1.218363101,0.488903877,Bladder cancer,finn-b-C3_BLADDER,RP11-347C12.2,"Monocyte, classical"
"RP11-347C12.2_T cell, CD4, TH17",Wald_ratio,1,0.115713161,0.041192387,NA,NA,0.004968162,NA,NA,NA,NA,NA,NA,NA,0.034976082,0.19645024,1.122673799,1.035594939,1.217074758,0.488903877,Bladder cancer,finn-b-C3_BLADDER,RP11-347C12.2,"T cell, CD4, TH17"
