id,gene,cell,nsnp,b,se,CIlower,Ciupper,pval,intercept,intercept_se,inter_CIlower,inter_CIupper,intercept_pval,hetero_Q,hetero_pvale,lo_ci,up_ci,or,or_lci95,or_uci95,fdr,cancer,cancerid,match,PPH4(PWCOCO),ldcheck,H4 (conventional coloc)
"NSUN4_T cell, CD8, naive",NSUN4,"T cell, CD8, naive",1,0.035070614,0.007945686,NA,NA,1.02E-05,NA,NA,NA,NA,NA,NA,NA,0.019497069,0.050644158,1.03569284,1.019688379,1.051948499,0.000689214,Prostate cancer,ieu-b-85,"NSUN4_T cell, CD8, naive_Prostate cancer_ieu-b-85",0.798868029,1,0.978198
"NSUN4_Monocyte, classical",NSUN4,"Monocyte, classical",1,0.036317039,0.008228079,NA,NA,1.02E-05,NA,NA,NA,NA,NA,NA,NA,0.020190004,0.052444074,1.036984559,1.020395201,1.053843623,0.000689214,Prostate cancer,ieu-b-85,"NSUN4_Monocyte, classical_Prostate cancer_ieu-b-85",0.750055677,1,0.970077
"NSUN4_T cell, CD4, TFH",NSUN4,"T cell, CD4, TFH",1,0.039952298,0.009051693,NA,NA,1.02E-05,NA,NA,NA,NA,NA,NA,NA,0.022210981,0.057693616,1.040761127,1.022459481,1.059390365,0.000689214,Prostate cancer,ieu-b-85,"NSUN4_T cell, CD4, TFH_Prostate cancer_ieu-b-85",0.314538499,1,0.314538
"NSUN4_Monocyte, non-classical",NSUN4,"Monocyte, non-classical",1,0.030052088,0.006808676,NA,NA,1.02E-05,NA,NA,NA,NA,NA,NA,NA,0.016707083,0.043397094,1.03050821,1.016847427,1.044352518,0.000689214,Prostate cancer,ieu-b-85,"NSUN4_Monocyte, non-classical_Prostate cancer_ieu-b-85",0.782736726,1,1
"RP11-6L6.2_Monocyte, non-classical",RP11-6L6.2,"Monocyte, non-classical",1,0.029395525,0.008870229,NA,NA,0.000919868,NA,NA,NA,NA,NA,NA,NA,0.012009877,0.046781173,1.029831838,1.012082285,1.047892677,0.026429253,Prostate cancer,ieu-b-85,"RP11-6L6.2_Monocyte, non-classical_Prostate cancer_ieu-b-85",0.466201068,1,0.466201
"TTC28_B cell, naive",TTC28,"B cell, naive",1,0.032618045,0.009477398,NA,NA,0.000578142,NA,NA,NA,NA,NA,NA,NA,0.014042345,0.051193745,1.033155845,1.014141402,1.052526795,0.018383228,Prostate cancer,ieu-b-85,"TTC28_B cell, naive_Prostate cancer_ieu-b-85",0.639825946,0.989344537,0.673503
"SESN1_T cell, CD4, TFH",SESN1,"T cell, CD4, TFH",1,0.055637631,0.009432817,NA,NA,3.67E-09,NA,NA,NA,NA,NA,NA,NA,0.037149311,0.074125952,1.057214513,1.037847971,1.076942441,1.30E-06,Prostate cancer,ieu-b-85,"SESN1_T cell, CD4, TFH_Prostate cancer_ieu-b-85",0.649753941,1,0.706217
"SESN1_T cell, CD8, naive",SESN1,"T cell, CD8, naive",1,0.052898498,0.009344114,NA,NA,1.50E-08,NA,NA,NA,NA,NA,NA,NA,0.034584034,0.071212962,1.054322624,1.035189016,1.073809882,3.87E-06,Prostate cancer,ieu-b-85,"SESN1_T cell, CD8, naive_Prostate cancer_ieu-b-85",0.647840635,0.964447736,0.647841
"RP11-534L20.5_T cell, CD4, TH17",RP11-534L20.5,"T cell, CD4, TH17",1,-0.0239375,0.007118959,NA,NA,0.000772401,NA,NA,NA,NA,NA,NA,NA,-0.037890659,-0.00998434,0.97634673,0.96281821,0.990065338,0.022974025,Prostate cancer,ieu-b-85,"RP11-534L20.5_T cell, CD4, TH17_Prostate cancer_ieu-b-85",0.436025201,1,1
"RP11-534L20.5_Monocyte, classical",RP11-534L20.5,"Monocyte, classical",1,-0.025474021,0.007575917,NA,NA,0.000772401,NA,NA,NA,NA,NA,NA,NA,-0.040322819,-0.010625224,0.974847704,0.960479328,0.989431025,0.022974025,Prostate cancer,ieu-b-85,"RP11-534L20.5_Monocyte, classical_Prostate cancer_ieu-b-85",0.517728053,1,1
"CTSK_T cell, CD4, TH1",CTSK,"T cell, CD4, TH1",1,-0.043385954,0.009288592,NA,NA,3.00E-06,NA,NA,NA,NA,NA,NA,NA,-0.061591594,-0.025180314,0.957541751,0.940266819,0.975134066,0.000243756,Prostate cancer,ieu-b-85,"CTSK_T cell, CD4, TH1_Prostate cancer_ieu-b-85",0.767783781,0.992665498,0.767784
"ARNT_NK cell, CD56dim CD16+",ARNT,"NK cell, CD56dim CD16+",1,-0.046923298,0.010045909,NA,NA,3.00E-06,NA,NA,NA,NA,NA,NA,NA,-0.066613281,-0.027233316,0.954160581,0.935556929,0.973134167,0.000243756,Prostate cancer,ieu-b-85,"ARNT_NK cell, CD56dim CD16+_Prostate cancer_ieu-b-85",0.457189784,0.992665498,0.588698
"CTSK_T cell, CD4, naive TREG",CTSK,"T cell, CD4, naive TREG",1,-0.040875568,0.008751138,NA,NA,3.00E-06,NA,NA,NA,NA,NA,NA,NA,-0.058027799,-0.023723338,0.959948571,0.943623716,0.976555848,0.000243756,Prostate cancer,ieu-b-85,"CTSK_T cell, CD4, naive TREG_Prostate cancer_ieu-b-85",0.743722176,0.992665498,0.743722
"CTSK_T cell, CD4, TH2",CTSK,"T cell, CD4, TH2",1,-0.039289981,0.008411676,NA,NA,3.00E-06,NA,NA,NA,NA,NA,NA,NA,-0.055776867,-0.022803096,0.96147186,0.94575014,0.97745493,0.000243756,Prostate cancer,ieu-b-85,"CTSK_T cell, CD4, TH2_Prostate cancer_ieu-b-85",0.012193485,0.992665498,0.0521777
"ARNT_T cell, CD4, TH17",ARNT,"T cell, CD4, TH17",1,-0.050104962,0.010727079,NA,NA,3.00E-06,NA,NA,NA,NA,NA,NA,NA,-0.071130036,-0.029079888,0.951129587,0.931340776,0.971338863,0.000243756,Prostate cancer,ieu-b-85,"ARNT_T cell, CD4, TH17_Prostate cancer_ieu-b-85",0.000469952,0.992665498,0.00606399
"CTSK_T cell, CD4, memory TREG",CTSK,"T cell, CD4, memory TREG",1,-0.04001755,0.008567443,NA,NA,3.00E-06,NA,NA,NA,NA,NA,NA,NA,-0.056809739,-0.023225362,0.960772577,0.944773806,0.977042271,0.000243756,Prostate cancer,ieu-b-85,"CTSK_T cell, CD4, memory TREG_Prostate cancer_ieu-b-85",0.650770449,0.992665498,0.65077
"CTSK_NK cell, CD56dim CD16+",CTSK,"NK cell, CD56dim CD16+",1,-0.041750638,0.008938483,NA,NA,3.00E-06,NA,NA,NA,NA,NA,NA,NA,-0.059270065,-0.02423121,0.959108916,0.942452211,0.976060009,0.000243756,Prostate cancer,ieu-b-85,"CTSK_NK cell, CD56dim CD16+_Prostate cancer_ieu-b-85",0.457189784,0.992665498,0.588698
"ARNT_T cell, CD4, naive",ARNT,"T cell, CD4, naive",1,-0.047388903,0.010145592,NA,NA,3.00E-06,NA,NA,NA,NA,NA,NA,NA,-0.067274262,-0.027503543,0.953716423,0.934938748,0.972871236,0.000243756,Prostate cancer,ieu-b-85,"ARNT_T cell, CD4, naive_Prostate cancer_ieu-b-85",0.701714066,0.992665498,0.999637
"MPHOSPH6_T cell, CD4, TH1",MPHOSPH6,"T cell, CD4, TH1",1,0.043108932,0.008414032,NA,NA,3.00E-07,NA,NA,NA,NA,NA,NA,NA,0.026617428,0.059600435,1.044051619,1.026974836,1.061412359,4.51E-05,Prostate cancer,ieu-b-85,"MPHOSPH6_T cell, CD4, TH1_Prostate cancer_ieu-b-85",0.910285876,1,0.910286
"MPHOSPH6_T cell, CD4, TFH",MPHOSPH6,"T cell, CD4, TFH",1,0.045186872,0.008819606,NA,NA,3.00E-07,NA,NA,NA,NA,NA,NA,NA,0.027900444,0.062473301,1.046223352,1.028293306,1.064466038,4.51E-05,Prostate cancer,ieu-b-85,"MPHOSPH6_T cell, CD4, TFH_Prostate cancer_ieu-b-85",0.885606262,1,0.885606
"PHLPP2_Monocyte, classical",PHLPP2,"Monocyte, classical",1,-0.032561076,0.009147593,NA,NA,0.000371528,NA,NA,NA,NA,NA,NA,NA,-0.050490359,-0.014631793,0.967963328,0.950763095,0.985474731,0.012804653,Prostate cancer,ieu-b-85,"PHLPP2_Monocyte, classical_Prostate cancer_ieu-b-85",0.003102805,0.991263167,1
"RAD51C_T cell, CD4, naive TREG",RAD51C,"T cell, CD4, naive TREG",1,-0.037618779,0.009145417,NA,NA,3.90E-05,NA,NA,NA,NA,NA,NA,NA,-0.055543797,-0.019693761,0.963080017,0.945970592,0.980498895,0.002194682,Prostate cancer,ieu-b-85,"RAD51C_T cell, CD4, naive TREG_Prostate cancer_ieu-b-85",0.340560563,1,0.741514
"VARS2_T cell, CD8, naive",VARS2,"T cell, CD8, naive",1,0.041382127,0.008316996,NA,NA,6.50E-07,NA,NA,NA,NA,NA,NA,NA,0.025080814,0.057683439,1.042250301,1.025397984,1.059379584,7.27E-05,Prostate cancer,ieu-b-85,"VARS2_T cell, CD8, naive_Prostate cancer_ieu-b-85",2.51E-09,1,1
"VARS2_Monocyte, classical",VARS2,"Monocyte, classical",1,0.04244783,0.008614107,NA,NA,8.32E-07,NA,NA,NA,NA,NA,NA,NA,0.02556418,0.059331481,1.043361623,1.025893746,1.061126925,9.04E-05,Prostate cancer,ieu-b-85,"VARS2_Monocyte, classical_Prostate cancer_ieu-b-85",0.000984752,0.991707264,0.998776
"HLA-H_T cell, CD4, memory TREG",HLA-H,"T cell, CD4, memory TREG",2,0.019389447,0.006022559,0.007585449,0.031193446,0.001284278,NA,NA,NA,NA,NA,8.905767975,0.002842713,0.007585232,0.031193663,1.019578644,1.007614073,1.031685284,0.034426359,Prostate cancer,ieu-b-85,"HLA-H_T cell, CD4, memory TREG_Prostate cancer_ieu-b-85",1.88E-05,0.947242814,1
"CCHCR1_T cell, CD8, naive",CCHCR1,"T cell, CD8, naive",1,-0.059566672,0.008170229,NA,NA,3.08E-13,NA,NA,NA,NA,NA,NA,NA,-0.075580321,-0.043553022,0.942172715,0.927205253,0.95738179,2.23E-10,Prostate cancer,ieu-b-85,"CCHCR1_T cell, CD8, naive_Prostate cancer_ieu-b-85",2.51E-09,1,1
"CCHCR1_T cell, CD4, TFH",CCHCR1,"T cell, CD4, TFH",1,-0.05648965,0.007658086,NA,NA,1.63E-13,NA,NA,NA,NA,NA,NA,NA,-0.071499499,-0.0414798,0.945076266,0.930996744,0.959368714,1.24E-10,Prostate cancer,ieu-b-85,"CCHCR1_T cell, CD4, TFH_Prostate cancer_ieu-b-85",2.67E-11,0.981284398,1
"LY6G5C_T cell, CD4, TFH",LY6G5C,"T cell, CD4, TFH",1,0.058329952,0.009215908,NA,NA,2.46E-10,NA,NA,NA,NA,NA,NA,NA,0.040266773,0.076393131,1.060064708,1.041088471,1.079386831,1.21E-07,Prostate cancer,ieu-b-85,"LY6G5C_T cell, CD4, TFH_Prostate cancer_ieu-b-85",3.16E-11,0.978706576,1
"HLA-F-AS1_T cell, CD4, TH1",HLA-F-AS1,"T cell, CD4, TH1",1,0.034197624,0.008651185,NA,NA,7.72E-05,NA,NA,NA,NA,NA,NA,NA,0.017241302,0.051153945,1.034789085,1.017390791,1.052484906,0.003977317,Prostate cancer,ieu-b-85,"HLA-F-AS1_T cell, CD4, TH1_Prostate cancer_ieu-b-85",1.84E-06,0.818359055,1
"HLA-F-AS1_T cell, CD4, TH1 TH17",HLA-F-AS1,"T cell, CD4, TH1 TH17",1,0.039814881,0.010072217,NA,NA,7.72E-05,NA,NA,NA,NA,NA,NA,NA,0.020073336,0.059556427,1.040618119,1.02027616,1.061365649,0.003977317,Prostate cancer,ieu-b-85,"HLA-F-AS1_T cell, CD4, TH1 TH17_Prostate cancer_ieu-b-85",1.29E-08,0.818359055,1
"PLEKHH2_T cell, CD4, TH1",PLEKHH2,"T cell, CD4, TH1",1,0.036357693,0.007253846,NA,NA,5.38E-07,NA,NA,NA,NA,NA,NA,NA,0.022140154,0.050575232,1.037026717,1.022387066,1.051875995,6.45E-05,Prostate cancer,ieu-b-85,"PLEKHH2_T cell, CD4, TH1_Prostate cancer_ieu-b-85",0.016070014,0.954831894,0.0160706
"DOC2GP_T cell, CD4, TFH",DOC2GP,"T cell, CD4, TFH",1,0.037573229,0.008521763,NA,NA,1.04E-05,NA,NA,NA,NA,NA,NA,NA,0.020870573,0.054275886,1.038288028,1.021089887,1.055775835,0.000701217,Prostate cancer,ieu-b-85,"DOC2GP_T cell, CD4, TFH_Prostate cancer_ieu-b-85",0.945933599,0.98195812,0.945934
"RP11-655M14.13_NK cell, CD56dim CD16+",RP11-655M14.13,"NK cell, CD56dim CD16+",1,-0.035854163,0.010781322,NA,NA,0.000882343,NA,NA,NA,NA,NA,NA,NA,-0.056985553,-0.014722772,0.964780984,0.944607716,0.985385078,0.025646437,Prostate cancer,ieu-b-85,"RP11-655M14.13_NK cell, CD56dim CD16+_Prostate cancer_ieu-b-85",0.446890151,0.99575252,0.725744
"RAD51C_T cell, CD8, naive activated",RAD51C,"T cell, CD8, naive activated",1,-0.028244056,0.007247813,NA,NA,9.74E-05,NA,NA,NA,NA,NA,NA,NA,-0.04244977,-0.014038342,0.972151079,0.958438607,0.986059736,0.004746225,Prostate cancer,ieu-b-85,"RAD51C_T cell, CD8, naive activated_Prostate cancer_ieu-b-85",0.72948029,1,0.814382
"SUPT4H1_T cell, CD4, TFH",SUPT4H1,"T cell, CD4, TFH",1,-0.029661654,0.008126481,NA,NA,0.00026224,NA,NA,NA,NA,NA,NA,NA,-0.045589556,-0.013733752,0.970773935,0.955434034,0.986360126,0.010246248,Prostate cancer,ieu-b-85,"SUPT4H1_T cell, CD4, TFH_Prostate cancer_ieu-b-85",0.065565052,1,0.0655651
"SUPT4H1_T cell, CD4, naive",SUPT4H1,"T cell, CD4, naive",1,-0.030531321,0.008364746,NA,NA,0.00026224,NA,NA,NA,NA,NA,NA,NA,-0.046926222,-0.01413642,0.969930052,0.95415779,0.98596303,0.010246248,Prostate cancer,ieu-b-85,"SUPT4H1_T cell, CD4, naive_Prostate cancer_ieu-b-85",0.294608443,1,0.59305
"SUPT4H1_T cell, CD4, TH1 TH17",SUPT4H1,"T cell, CD4, TH1 TH17",1,-0.0299597,0.008208137,NA,NA,0.00026224,NA,NA,NA,NA,NA,NA,NA,-0.046047648,-0.013871751,0.970484644,0.954996457,0.986224018,0.010246248,Prostate cancer,ieu-b-85,"SUPT4H1_T cell, CD4, TH1 TH17_Prostate cancer_ieu-b-85",0.737589475,1,0.797733
